,Cocktail Name,Recipe,Ingredients,Proportions
386,Tequila Sour,"1 Cherry, 1/2 slice Lemon, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Tequila","Cherry, Lemon, Powdered sugar, Lemon, Tequila","1 , 1/2 slice , 1 tsp , Juice of 1/2 , 2 oz "
387,Thai Iced Tea,"garnishMint, cubesIce, 2 tsp sweetened Condensed milk, 1/2 cup boiling Water, 1/4 cup Thai Tea","Mint, Ice, Condensed milk, Water, Tea","garnish, cubes, 2 tsp sweetened , 1/2 cup boiling , 1/4 cup Thai "
388,The Last Word,"1 ozGin, 1 ozLime Juice, 1 ozMaraschino Liqueur, 1 ozGreen Chartreuse","Gin, Lime Juice, Maraschino Liqueur, Green Chartreuse","1 oz, 1 oz, 1 oz, 1 oz"
389,Turf Cocktail,"Twist of Orange peel, 2 dashes Bitters, 1/4 tsp Anis, 1 oz Gin, 1 oz Dry Vermouth","Orange peel, Bitters, Anis, Gin, Dry Vermouth","Twist of , 2 dashes , 1/4 tsp , 1 oz , 1 oz "
390,The Laverstoke,"1 Large SprigMint, 1 SliceGinger, 2 WedgesLime, 75 mlTonic Water, 15 mlRosso Vermouth, 15 mlElderflower cordial, 50 mlGin","Mint, Ginger, Lime, Tonic Water, Rosso Vermouth, Elderflower cordial, Gin","1 Large Sprig, 1 Slice, 2 Wedges, 75 ml, 15 ml, 15 ml, 50 ml"
391,Tequila Slammer,"1 part7-up, 1 shotTequila","7-up, Tequila","1 part, 1 shot"
392,Tequila Sunrise,"NoneGrenadine, NoneOrange juice, 2 measures Tequila","Grenadine, Orange juice, Tequila",2 measures 
393,The Philosopher,"TopProsecco, 1 dashLemon Juice, 1 dashOrange Bitters, 1 shotMelon Liqueur, 1 shotGin","Prosecco, Lemon Juice, Orange Bitters, Melon Liqueur, Gin","Top, 1 dash, 1 dash, 1 shot, 1 shot"
394,Tuxedo Cocktail,"1 Cherry, 2 dashes Orange bitters, 1/4 tsp Anis, 1/4 tsp Maraschino liqueur, 1 1/2 oz Gin, 1 1/2 oz Dry Vermouth","Cherry, Orange bitters, Anis, Maraschino liqueur, Gin, Dry Vermouth","1 , 2 dashes , 1/4 tsp , 1/4 tsp , 1 1/2 oz , 1 1/2 oz "
395,Tequila Surprise,"About 8 drops Tabasco sauce, full glass Tequila","Tabasco sauce, Tequila","About 8 drops , full glass "
396,Thai Iced Coffee,"NoneCardamom,  pods
Cream, NoneSugar, blackCoffee","Cardamom, Cream, Sugar, Coffee",black
397,The Jimmy Conway,"4 ozCranberry Juice, 50 mlAmaretto, 50 mlIrish Whiskey","Cranberry Juice, Amaretto, Irish Whiskey","4 oz, 50 ml, 50 ml"
398,Texas Rattlesnake,"1 splash Sweet and sour, 1 part Southern Comfort, 1/2 part Cherry brandy, 1 part Yukon Jack","Sweet and sour, Southern Comfort, Cherry brandy, Yukon Jack","1 splash , 1 part , 1/2 part , 1 part "
399,Vesper,"0.75 clLillet Blanc, 1.5 clVodka, 6 clGin","Lillet Blanc, Vodka, Gin","0.75 cl, 1.5 cl, 6 cl"
400,Victor,"1/2 oz Brandy, 1/2 oz Sweet Vermouth, 1 1/2 oz Gin","Brandy, Sweet Vermouth, Gin","1/2 oz , 1/2 oz , 1 1/2 oz "
401,Vampiro,"1 pinchSalt, 1 dashSugar Syrup, 1.5 clLime Juice, 3 clOrange Juice, 3 clTomato Juice, 6 clTequila","Salt, Sugar Syrup, Lime Juice, Orange Juice, Tomato Juice, Tequila","1 pinch, 1 dash, 1.5 cl, 3 cl, 3 cl, 6 cl"
402,Vesuvio,"1 Egg white, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1/2 oz Sweet Vermouth, 1 oz Light rum","Egg white, Powdered sugar, Lemon, Sweet Vermouth, Light rum","1 , 1 tsp , Juice of 1/2 , 1/2 oz , 1 oz "
403,Veteran,"1/2 oz Cherry brandy, 2 oz Dark rum","Cherry brandy, Dark rum","1/2 oz , 2 oz "
404,Van Vleet,"1 oz Lemon juice, 1 oz Maple syrup, 3 oz Light rum","Lemon juice, Maple syrup, Light rum","1 oz , 1 oz , 3 oz "
405,Vodka Fizz,"NoneNutmeg, NoneIce, 2 oz Limeade, 2 oz Half-and-half, 2 oz Vodka","Nutmeg, Ice, Limeade, Half-and-half, Vodka","2 oz , 2 oz , 2 oz "
406,Vodka Lemon,"cubesIce, 1 SliceLemon Peel, 7 clLemon Juice, 5 clVodka","Ice, Lemon Peel, Lemon Juice, Vodka","cubes, 1 Slice, 7 cl, 5 cl"
407,Vodka Slime,"1 1/2 shotVodka, 1/2 shotLime Juice, 1 cupSprite","Vodka, Lime Juice, Sprite","1 1/2 shot, 1/2 shot, 1 cup"
408,Vodka Tonic,"1 SliceLemon Peel, 10 clTonic Water, 4 clVodka","Lemon Peel, Tonic Water, Vodka","1 Slice, 10 cl, 4 cl"
409,Vodka Martini,"1 Olive, 3/4 oz Dry Vermouth, 1 1/2 oz Vodka","Olive, Dry Vermouth, Vodka","1 , 3/4 oz , 1 1/2 oz "
410,Vodka Russian,"NoneSchweppes Russchian, 2 oz Vodka","Schweppes Russchian, Vodka",2 oz 
411,Vermouth Cassis,"NoneCarbonated water, 3/4 oz Creme de Cassis, 1 1/2 oz Dry Vermouth","Carbonated water, Creme de Cassis, Dry Vermouth","3/4 oz , 1 1/2 oz "
412,Victory Collins,"1 slice Orange, 1 tsp Powdered sugar, 3 oz unsweetened Grape juice, 3 oz Lemon juice, 1 1/2 oz Vodka","Orange, Powdered sugar, Grape juice, Lemon juice, Vodka","1 slice , 1 tsp , 3 oz unsweetened , 3 oz , 1 1/2 oz "
413,Vodka And Tonic,"NoneTonic water, 2 oz Vodka","Tonic water, Vodka",2 oz 
414,Valencia Cocktail,"2 dashes Orange bitters, 1 tblsp Orange juice, 1 1/2 oz Apricot brandy","Orange bitters, Orange juice, Apricot brandy","2 dashes , 1 tblsp , 1 1/2 oz "
415,Whisky Mac,"1 oz Green Ginger Wine, 1 1/2 oz Scotch","Wine, Scotch","1 oz Green Ginger , 1 1/2 oz "
416,White Lady,"2clLemon Juice, 3clTriple Sec, 4clGin","Lemon Juice, Triple Sec, Gin","2cl, 3cl, 4cl"
417,Wine Punch,"1 cup Pineapple juice, 3 Orange, 1 cup Orange juice, 2 Lemon, 1 bottle Red wine","Pineapple juice, Orange, Orange juice, Lemon, Red wine","1 cup , 3 , 1 cup , 2 , 1 bottle "
418,Wine Cooler,"cubesIce, 5 oz Lemon-lime soda, 2 oz white or Red wine","Ice, Lemon-lime soda, Red wine","cubes, 5 oz , 2 oz white or "
419,Winter Rita,"DashSalt, 1/2 ozRosemary Syrup, 1/2 ozOrange Juice, 3/4 ozLime Juice, 1/4 ozCampari, 1 2/3 ozTequila","Salt, Rosemary Syrup, Orange Juice, Lime Juice, Campari, Tequila","Dash, 1/2 oz, 1/2 oz, 3/4 oz, 1/4 oz, 1 2/3 oz"
420,Whiskey Sour,"1/2 slice Lemon, 1 Cherry, 1/2 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Blended whiskey","Lemon, Cherry, Powdered sugar, Lemon, Blended whiskey","1/2 slice , 1 , 1/2 tsp , Juice of 1/2 , 2 oz "
421,White Russian,"NoneLight cream, 1 oz Coffee liqueur, 2 oz Vodka","Light cream, Coffee liqueur, Vodka","1 oz , 2 oz "
422,Winter Paloma,"DashPepper, 1 tspAgave Syrup, Juice of 1Lime Juice, TopGrapefruit Juice, 2 shotsTequila","Pepper, Agave Syrup, Lime Juice, Grapefruit Juice, Tequila","Dash, 1 tsp, Juice of 1, Top, 2 shots"
423,White Wine Sangria,"TopSoda Water, 3 shotsApple Brandy, 1 cupApple, 1 cupStrawberries, 750 mlWhite Wine, 1lemon, 1Lime","Soda Water, Apple Brandy, Apple, Strawberries, White Wine, lemon, Lime","Top, 3 shots, 1 cup, 1 cup, 750 ml, 1, 1"
424,Whitecap Margarita,"3 tblsp fresh Lime juice, 1/4 cup Cream of coconut, 2 oz Tequila, 1 cup Ice","Lime juice, Cream of coconut, Tequila, Ice","3 tblsp fresh , 1/4 cup , 2 oz , 1 cup "
425,Waikiki Beachcomber,"1 tblsp Pineapple juice, 3/4 oz Gin, 3/4 oz Triple sec","Pineapple juice, Gin, Triple sec","1 tblsp , 3/4 oz , 3/4 oz "
426,Yellow Bird,"1.5 clLime Juice, 1.5 clTriple Sec, 1.5 clGalliano, 3 clWhite Rum","Lime Juice, Triple Sec, Galliano, White Rum","1.5 cl, 1.5 cl, 1.5 cl, 3 cl"
427,Yoghurt Cooler,"NoneIce, 1 cup Fruit, 1 cup Yoghurt","Ice, Fruit, Yoghurt","1 cup , 1 cup "
428,Zorro,"2 cl White Creme de Menthe, 2 cl Baileys irish cream, 2 cl Sambuca","White Creme de Menthe, Baileys irish cream, Sambuca","2 cl , 2 cl , 2 cl "
429,Zinger,"4 shots Surge, 4 shots Peachtree schnapps","Surge, Peachtree schnapps","4 shots , 4 shots "
430,Zoksel,"NoneLemon, NoneCreme de Cassis, None7-Up,  slice
Coca-Cola, NoneLemonade, NoneRoot beer, NoneBeer","Lemon, Creme de Cassis, 7-Up, Coca-Cola, Lemonade, Root beer, Beer",
431,Zombie,"1 dropAngostura Bitters, 1 tspLime Juice, 1 tspGrenadine, 1 tspPernod, 1 oz151 proof rum, 1 1/2 ozGold rum, 1 1/2 ozRum","Angostura Bitters, Lime Juice, Grenadine, Pernod, 151 proof rum, Gold rum, Rum","1 drop, 1 tsp, 1 tsp, 1 tsp, 1 oz, 1 1/2 oz, 1 1/2 oz"
432,Zambeer,"cubesIce, Add 10 oz Root beer, 1 1/2 oz Sambuca","Ice, Root beer, Sambuca","cubes, Add 10 oz , 1 1/2 oz "
433,Zorbatini,"1/4 oz Ouzo, 1 1/4 oz Stoli Vodka","Ouzo, Vodka","1/4 oz , 1 1/4 oz Stoli "
434,Zenmeister,"1/2 oz Root beer, 1/2 oz Jägermeister","Root beer, Jägermeister","1/2 oz , 1/2 oz "
435,Zipperhead,"Fill with Soda water, 1 shot Vodka, 1 shot Chambord raspberry liqueur","Soda water, Vodka, Chambord raspberry liqueur","Fill with , 1 shot , 1 shot "
436,Zima Blaster,"3 oz Chambord raspberry liqueur, 12 oz Zima","Chambord raspberry liqueur, Zima","3 oz , 12 oz "
437,Zizi Coin-coin," or lime
Lemon, cubesIce, 2 cl Lemon juice, 5 cl Cointreau","Lemon, Ice, Lemon juice, Cointreau"," or lime
, cubes, 2 cl , 5 cl "
438,Zimadori Zinger,"12 oz Zima, 1.5 oz Midori melon liqueur","Zima, Midori melon liqueur","12 oz , 1.5 oz "
439,Zippy's Revenge,"4 oz Grape Kool-Aid, 2 oz Rum, 2 oz Amaretto","Kool-Aid, Rum, Amaretto","4 oz Grape , 2 oz , 2 oz "
440,Ziemes Martini Apfelsaft,"16 cl Apple juice, 4 cl Vermouth","Apple juice, Vermouth","16 cl , 4 cl "
441,A1,"1/8 ShotGrenadine, 1/4 ShotLemon Juice, 1 Shot Grand Marnier, 1 3/4 shot Gin","Grenadine, Lemon Juice, Grand Marnier, Gin","1/8 Shot, 1/4 Shot, 1 Shot , 1 3/4 shot "
442,ABC,"1/3 Cognac, 1/3 Baileys irish cream, 1/3 Amaretto","Cognac, Baileys irish cream, Amaretto","1/3 , 1/3 , 1/3 "
443,Ace,"1/2 FreshEgg White, 1/2 shotMilk, 1/2 shot Heavy cream, 1/2 shot Grenadine, 2 shots Gin","Egg White, Milk, Heavy cream, Grenadine, Gin","1/2 Fresh, 1/2 shot, 1/2 shot , 1/2 shot , 2 shots "
444,ACID,"1 oz Wild Turkey, 1 oz Bacardi 151 proof rum","Wild Turkey, 151 proof rum","1 oz , 1 oz Bacardi "
445,Adam,"1 tsp Grenadine, 1 oz Lemon juice, 2 oz Dark rum","Grenadine, Lemon juice, Dark rum","1 tsp , 1 oz , 2 oz "
446,AT&T,"4 oz Tonic water, 1 oz Gin, 1 oz Absolut Vodka","Tonic water, Gin, Absolut Vodka","4 oz , 1 oz , 1 oz "
447,A. J.,"1 oz Grapefruit juice, 1 1/2 oz Applejack","Grapefruit juice, Applejack","1 oz , 1 1/2 oz "
448,Affair,"NoneClub soda, 2 oz Cranberry juice, 2 oz Orange juice, 2 oz Strawberry schnapps","Club soda, Cranberry juice, Orange juice, Strawberry schnapps","2 oz , 2 oz , 2 oz "
449,Apello,"1 Maraschino cherry, 1 cl Apple juice, 3 cl Grapefruit juice, 4 cl Orange juice","Maraschino cherry, Apple juice, Grapefruit juice, Orange juice","1 , 1 cl , 3 cl , 4 cl "
450,Avalon,"NoneLemonade, 1 1/2 part Lemon juice, 6 parts Apple juice, 1 part Pisang Ambon, 3 partsVodka","Lemonade, Lemon juice, Apple juice, Pisang Ambon, Vodka","1 1/2 part , 6 parts , 1 part , 3 parts"
451,Abilene,"3 oz Orange juice, 2 oz Peach nectar, 1 1/2 oz Dark rum","Orange juice, Peach nectar, Dark rum","3 oz , 2 oz , 1 1/2 oz "
452,Addison,"1 1/2 shot Vermouth, 1 1/2 shot Gin","Vermouth, Gin","1 1/2 shot , 1 1/2 shot "
453,Almeria,"1 Egg white, 1 oz Kahlua, 2 oz Dark rum","Egg white, Kahlua, Dark rum","1 , 1 oz , 2 oz "
454,Acapulco,"1 Mint, 1 Egg white, 1 tsp Sugar, 1 tblsp Lime juice, 1 1/2 tsp Triple sec, 1 1/2 oz Light rum","Mint, Egg white, Sugar, Lime juice, Triple sec, Light rum","1 , 1 , 1 tsp , 1 tblsp , 1 1/2 tsp , 1 1/2 oz "
455,Affinity,"2 dashes Orange bitters, 1 oz Dry Vermouth, 1 oz Sweet Vermouth, 1 1/2 oz Scotch","Orange bitters, Dry Vermouth, Sweet Vermouth, Scotch","2 dashes , 1 oz , 1 oz , 1 1/2 oz "
456,Applecar,"1 oz Lemon juice, 1 oz Triple sec, 1 oz Applejack","Lemon juice, Triple sec, Applejack","1 oz , 1 oz , 1 oz "
457,Aviation,"1.5 clmaraschino liqueur, 1.5 cllemon juice, 4.5 clGin","maraschino liqueur, lemon juice, Gin","1.5 cl, 1.5 cl, 4.5 cl"
458,Adam Bomb,"NoneFruit juice, 1-3 pint Salt, NoneIce, NoneFruit, 1/2 part Triple sec, 1 part Tequila, 1 part Vodka, 1 part Rum","Fruit juice, Salt, Ice, Fruit, Triple sec, Tequila, Vodka, Rum","1/2 part , 1 part , 1 part , 1 part "
459,Addington,"Top up with
Soda Water, 1 shot Dry Vermouth, 2 shots Sweet Vermouth","Soda Water, Dry Vermouth, Sweet Vermouth","Top up with
, 1 shot , 2 shots "
460,After sex,"NoneOrange juice, 1 cl Creme de Banane, 2 cl Vodka","Orange juice, Creme de Banane, Vodka","1 cl , 2 cl "
461,Afterglow,"4 parts Pineapple juice, 4 parts Orange juice, 1 part Grenadine","Pineapple juice, Orange juice, Grenadine","4 parts , 4 parts , 1 part "
462,Afternoon,"NoneCream, 4 cl hot Coffee, 1 1/2 Frangelico, 1 cl Baileys irish cream, 1 cl Kahlua","Cream, Coffee, Frangelico, Baileys irish cream, Kahlua","4 cl hot , 1 1/2 , 1 cl , 1 cl "
463,Alexander,"NoneNutmeg, 2 oz Light cream, 1/2 oz white Creme de Cacao, 1/2 oz Gin","Nutmeg, Light cream, Creme de Cacao, Gin","2 oz , 1/2 oz white , 1/2 oz "
464,Algonquin,"1 oz Pineapple juice, 1 oz Dry Vermouth, 1 1/2 oz Blended whiskey","Pineapple juice, Dry Vermouth, Blended whiskey","1 oz , 1 oz , 1 1/2 oz "
465,Allegheny,"1 twist of Lemon peel, 1 1/2 tsp Lemon juice, 1 1/2 tsp Blackberry brandy, 1 oz Bourbon, 1 oz Dry Vermouth","Lemon peel, Lemon juice, Blackberry brandy, Bourbon, Dry Vermouth","1 twist of , 1 1/2 tsp , 1 1/2 tsp , 1 oz , 1 oz "
466,B-52,"1/4 Kahlua, 1/3 Grand Marnier, 1/3 Baileys irish cream","Kahlua, Grand Marnier, Baileys irish cream","1/4 , 1/3 , 1/3 "
467,B-53,"1/3 shot Grand Marnier, 1/3 shot Sambuca, 1/3 shot Kahlua","Grand Marnier, Sambuca, Kahlua","1/3 shot , 1/3 shot , 1/3 shot "
468,Bijou,"1 ozSweet Vermouth, 1 ozGin, 1 ozGreen Chartreuse, 1 dashOrange Bitters","Sweet Vermouth, Gin, Green Chartreuse, Orange Bitters","1 oz, 1 oz, 1 oz, 1 dash"
469,Boxcar,"1 Egg white, 1/2 tsp Grenadine, 1 tsp Lemon juice, 1 oz Triple sec, 1 1/2 oz Gin","Egg white, Grenadine, Lemon juice, Triple sec, Gin","1 , 1/2 tsp , 1 tsp , 1 oz , 1 1/2 oz "
470,Big Red,"1/2 oz Goldschlager, 1/2 oz Irish cream","Goldschlager, Irish cream","1/2 oz , 1/2 oz "
471,Bellini,"1 oz Peach schnapps, 6 oz Champagne","Peach schnapps, Champagne","1 oz , 6 oz "
472,Bramble,"1.5 clCreme de Mure, 1 clSugar syrup, 1.5 cllemon juice, 4 clGin","Creme de Mure, Sugar syrup, lemon juice, Gin","1.5 cl, 1 cl, 1.5 cl, 4 cl"
473,Balmoral,"2 dashes Bitters, 1/2 oz Dry Vermouth, 1/2 oz Sweet Vermouth, 1 1/2 oz Scotch","Bitters, Dry Vermouth, Sweet Vermouth, Scotch","2 dashes , 1/2 oz , 1/2 oz , 1 1/2 oz "
474,Bluebird,"1 twist of Lemon peel, 1 Maraschino cherry, 2 dashes Bitters, 1/2 oz Blue Curacao, 1/2 oz Triple sec, 1 1/2 oz Gin","Lemon peel, Maraschino cherry, Bitters, Blue Curacao, Triple sec, Gin","1 twist of , 1 , 2 dashes , 1/2 oz , 1/2 oz , 1 1/2 oz "
475,Brooklyn,"1Maraschino Cherry, 3 dashesAngostura Bitters, 1/4 ozMaraschino Liqueur, 1 ozDry Vermouth, 2 ozRye Whiskey","Maraschino Cherry, Angostura Bitters, Maraschino Liqueur, Dry Vermouth, Rye Whiskey","1, 3 dashes, 1/4 oz, 1 oz, 2 oz"
476,Bora Bora,"1 cl Grenadine, 1 cl Lemon juice, 6 cl Passion fruit juice, 10 cl Pineapple juice","Grenadine, Lemon juice, Passion fruit juice, Pineapple juice","1 cl , 1 cl , 6 cl , 10 cl "
477,Boomerang,"1 Maraschino cherry, 1/2 tsp Maraschino liqueur, 2 dashes Bitters, 1/2 oz Dry Vermouth, 2 oz Gin","Maraschino cherry, Maraschino liqueur, Bitters, Dry Vermouth, Gin","1 , 1/2 tsp , 2 dashes , 1/2 oz , 2 oz "
478,Barracuda,"top up Prosecco,  1 dashLime Juice, 6 clPineapple Juice, 1.5 clGalliano, 4.5 clRum","Prosecco, Lime Juice, Pineapple Juice, Galliano, Rum","top up ,  1 dash, 6 cl, 1.5 cl, 4.5 cl"
479,Brigadier,"1 ozCherry Heering, 1 ozGreen Chartreuse, 4 ozHot Chocolate","Cherry Heering, Green Chartreuse, Hot Chocolate","1 oz, 1 oz, 4 oz"
480,Broadside,"cubesIce, 1 FreshWormwood, 3 dropsBitters, 1/2 shotScotch, 1 shot151 proof rum","Ice, Wormwood, Bitters, Scotch, 151 proof rum","cubes, 1 Fresh, 3 drops, 1/2 shot, 1 shot"
481,Buccaneer,"1 shot Bacardi Limon, 1 Corona","Bacardi Limon, Corona","1 shot , 1 "
482,Brain Fart,"1 pint Rum, 1 small bottle Lemon juice, 2 L Surge, 2 L Mountain Dew, 1 fifth Smirnoff red label Vodka, 1 fifth Everclear","Rum, Lemon juice, Surge, Mountain Dew, Vodka, Everclear","1 pint , 1 small bottle , 2 L , 2 L , 1 fifth Smirnoff red label , 1 fifth "
483,Blackthorn,"1 twist of Lemon peel, 1 1/2 oz Sloe gin, 1 oz Sweet Vermouth","Lemon peel, Sloe gin, Sweet Vermouth","1 twist of , 1 1/2 oz , 1 oz "
484,Bob Marley,"1/2 oz Goldschlager, 1/2 oz Jägermeister, 1/2 oz Midori melon liqueur","Goldschlager, Jägermeister, Midori melon liqueur","1/2 oz , 1/2 oz , 1/2 oz "
485,Bible Belt,"2 oz Sour mix, 2 wedges Lime, 1/2 oz Triple sec, 2 oz Southern Comfort","Sour mix, Lime, Triple sec, Southern Comfort","2 oz , 2 wedges , 1/2 oz , 2 oz "
486,Bubble Gum,"1/4 Peach schnapps, 1/4 Orange juice, 1/4 Banana liqueur, 1/4 Vodka","Peach schnapps, Orange juice, Banana liqueur, Vodka","1/4 , 1/4 , 1/4 , 1/4 "
487,Bumble Bee,"1/3 oz Sambuca, 1/3 oz Kahlua, 1/3 oz Baileys irish cream","Sambuca, Kahlua, Baileys irish cream","1/3 oz , 1/3 oz , 1/3 oz "
488,Baby Eskimo,"2 scoops Vanilla ice-cream, 8 oz Milk, 2 oz Kahlua","Vanilla ice-cream, Milk, Kahlua","2 scoops , 8 oz , 2 oz "
489,Boston Sour,"1 Cherry, 1 slice Lemon, 1 Egg white, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Blended whiskey","Cherry, Lemon, Egg white, Powdered sugar, Lemon, Blended whiskey","1 , 1 slice , 1 , 1 tsp , Juice of 1/2 , 2 oz "
490,Bahama Mama,"1 partSweet and Sour, 2 partsOrange Juice, 2 partsPineapple Juice, 1 partGrenadine, 1 partBanana liqueur, 1 partDark Rum, 3 partsRum","Sweet and Sour, Orange Juice, Pineapple Juice, Grenadine, Banana liqueur, Dark Rum, Rum","1 part, 2 parts, 2 parts, 1 part, 1 part, 1 part, 3 parts"
491,Casino,"1 Cherry, 2 dashes Orange bitters, 1/4 tsp Lemon juice, 1/4 tsp Maraschino liqueur, 2 oz Gin","Cherry, Orange bitters, Lemon juice, Maraschino liqueur, Gin","1 , 2 dashes , 1/4 tsp , 1/4 tsp , 2 oz "
492,Cafe Savoy,"NoneBrandy, 1/2 oz Triple sec, 1/2 oz Milk, NoneCoffee","Brandy, Triple sec, Milk, Coffee",
493,Caipirinha,"2 1/2 oz Cachaca, 1 Lime, 2 tspSugar","Cachaca, Lime, Sugar","2 1/2 oz , 1 , 2 tsp"
494,Cream Soda,"NoneGinger ale, 1 oz Spiced rum","Ginger ale, Spiced rum",1 oz 
495,Cuba Libra,"NoneIce, Fill with Coca-Cola, Squeeze Lime, 1-2 shot Dark rum","Ice, Coca-Cola, Lime, Dark rum","Fill with , Squeeze , 1-2 shot "
496,Cherry Rum,"1 tblsp Light cream, 1 1/2 tsp Cherry brandy, 1 1/4 oz Light rum","Light cream, Cherry brandy, Light rum","1 tblsp , 1 1/2 tsp , 1 1/4 oz "
497,Cuba Libre,"NoneCoca-Cola, Juice of 1/2 Lime, 2 oz Light rum","Coca-Cola, Lime, Light rum","Juice of 1/2 , 2 oz "
498,Corn n Oil,"1 ozblackstrap rum, 1 ozAñejo rum, 2 dashesAngostura Bitters, 1/3 ozFalernum, 1/2Lime","blackstrap rum, Añejo rum, Angostura Bitters, Falernum, Lime","1 oz, 1 oz, 2 dashes, 1/3 oz, 1/2"
499,Citrus Coke,"2 parts Coca-Cola, 1 part Bacardi Limon","Coca-Cola, Bacardi Limon","2 parts , 1 part "
500,Casa Blanca,"1 1/2 tsp Maraschino liqueur, 1 1/2 tsp Lime juice, 1 1/2 tsp Triple sec, 2 oz Light rum","Maraschino liqueur, Lime juice, Triple sec, Light rum","1 1/2 tsp , 1 1/2 tsp , 1 1/2 tsp , 2 oz "
501,Clover Club,"1 Egg white, Juice of 1/2 Lemon, 2 tsp Grenadine, 1 1/2 oz Gin","Egg white, Lemon, Grenadine, Gin","1 , Juice of 1/2 , 2 tsp , 1 1/2 oz "
502,Caipirissima,"crushed Ice, 2-3 oz White rum, 2 tblsp Sugar, 2 Lime","Ice, White rum, Sugar, Lime","crushed , 2-3 oz , 2 tblsp , 2 "
503,City Slicker,"1 tblsp Lemon juice, 1/2 oz Triple sec, 2 oz Brandy","Lemon juice, Triple sec, Brandy","1 tblsp , 1/2 oz , 2 oz "
504,Campari Beer,"1 1/2 cl Campari, 1 bottle Lager","Campari, Lager","1 1/2 cl , 1 bottle "
505,Chicago Fizz,"NoneCarbonated water, 1 Egg white, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 oz Port, 1 oz Light rum","Carbonated water, Egg white, Powdered sugar, Lemon, Port, Light rum","1 , 1 tsp , Juice of 1/2 , 1 oz , 1 oz "
506,Cosmopolitan,"1/4 cup Cranberry juice, 1/4 oz Cointreau, 1/4 oz Lime juice, 1 1/4 oz Vodka","Cranberry juice, Cointreau, Lime juice, Vodka","1/4 cup , 1/4 oz , 1/4 oz , 1 1/4 oz "
507,Coffee-Vodka,"NoneCaramel coloring, 1 1/2 cupVodka, 1/2Vanilla, 1/2 cup instant Coffee, 2 cups white Sugar, 2 cups Water","Caramel coloring, Vodka, Vanilla, Coffee, Sugar, Water","1 1/2 cup, 1/2, 1/2 cup instant , 2 cups white , 2 cups "
508,Casino Royale,"1 Egg yolk, 1 dash Orange bitters, 1 tsp Maraschino liqueur, 1/2 oz Lemon juice, 2 oz Gin","Egg yolk, Orange bitters, Maraschino liqueur, Lemon juice, Gin","1 , 1 dash , 1 tsp , 1/2 oz , 2 oz "
509,Corpse Reviver,"1 dashAbsinthe, 3/4 ozLemon Juice, 3/4 ozLillet Blanc, 3/4 ozTriple Sec, 3/4 ozGin","Absinthe, Lemon Juice, Lillet Blanc, Triple Sec, Gin","1 dash, 3/4 oz, 3/4 oz, 3/4 oz, 3/4 oz"
510,Chocolate Milk,"1 dash Amaretto, 1/2 shot Milk, 1/2 shot Chocolate liqueur","Amaretto, Milk, Chocolate liqueur","1 dash , 1/2 shot , 1/2 shot "
511,Clove Cocktail,"1/2 oz Muscatel Wine, 1/2 oz Sloe gin, 1 oz Sweet Vermouth","Wine, Sloe gin, Sweet Vermouth","1/2 oz Muscatel , 1/2 oz , 1 oz "
512,Coffee Liqueur,"2 1/2 cups Water, 1 qt Vodka, 2 1/2 cups Sugar, 4 tblsp Vanilla extract, 10 tblsp instant Coffee","Water, Vodka, Sugar, Vanilla extract, Coffee","2 1/2 cups , 1 qt , 2 1/2 cups , 4 tblsp , 10 tblsp instant "
513,Coke and Drops,"7 drops Lemon juice, 1 dl Coca-Cola","Lemon juice, Coca-Cola","7 drops , 1 dl "
514,Chocolate Drink,"NoneWater, 3/4 L Milk, 125 grChocolate","Water, Milk, Chocolate","3/4 L , 125 gr"
515,Cranberry Punch,"2 qt Ginger ale, 1 tblsp Almond flavoring, 4 cups Pineapple juice, 1 1/2 cup Sugar, 4 cups Cranberry juice","Ginger ale, Almond flavoring, Pineapple juice, Sugar, Cranberry juice","2 qt , 1 tblsp , 4 cups , 1 1/2 cup , 4 cups "
516,Derby,"2 Fresh leavesMint, 2 dashesPeach Bitters, 6 clgin","Mint, Peach Bitters, gin","2 Fresh leaves, 2 dashes, 6 cl"
517,Diesel,"1 dash Blackcurrant cordial, 1/2 pint Cider, 1/2 pint Lager","Blackcurrant cordial, Cider, Lager","1 dash , 1/2 pint , 1/2 pint "
518,Daiquiri,"1 tsp Powdered sugar, Juice of 1/2 Lime, 1 1/2 oz Light rum","Powdered sugar, Lime, Light rum","1 tsp , Juice of 1/2 , 1 1/2 oz "
519,Danbooka,"1 part Everclear, 3 parts Coffee","Everclear, Coffee","1 part , 3 parts "
520,Downshift,"Float Bacardi 151 proof rum, 2 shots Tequila, 1 part Sprite, 2 part Fruit punch","151 proof rum, Tequila, Sprite, Fruit punch","Float Bacardi , 2 shots , 1 part , 2 part "
521,Dragonfly,"1 Lime, 4 oz Ginger ale, 1 1/2 oz Gin","Lime, Ginger ale, Gin","1 , 4 oz , 1 1/2 oz "
522,Dry Martini,"1 Olive, 1/3 oz Dry Vermouth, 1 2/3 oz Gin","Olive, Dry Vermouth, Gin","1 , 1/3 oz , 1 2/3 oz "
